age,men-coded,women-coded,retention_ratio
26,0.933252180969771,1.10204081632653,1.18086069210293
27,0.997614400346996,1.05952380952381,1.06205745341615
28,0.927406459865686,0.985994397759104,1.06317395923887
29,0.983034723323292,0.985994397759104,1.00301075268817
30,0.953878406708595,1.05555555555556,1.10659340659341
31,1.12159329140461,1.01111111111111,0.901495327102804
32,1.0062893081761,0.988888888888889,0.982708333333333
33,0.985324947589099,0.966666666666667,0.981063829787234
34,0.932914046121593,0.977777777777778,1.04808988764045
35,0.943396226415094,1.03333333333333,1.09533333333333
36,0.922431865828092,1.04444444444444,1.13227272727273
37,0.932914046121593,1.02222222222222,1.09573033707865
38,0.922431865828092,0.944444444444444,1.02386363636364
39,1.0272536687631,0.888888888888889,0.86530612244898
40,0.943396226415094,0.933333333333333,0.989333333333333
41,1.0167714884696,0.8,0.78680412371134
42,1.0167714884696,0.977777777777778,0.961649484536082
43,1.02531578669204,0.711111111111111,0.693553264604811
44,0.940753659954548,0.817927170868348,0.869438202247191
45,0.911949685534591,0.734463276836158,0.805376972530684
46,1.0167714884696,0.689265536723164,0.677896208282369
47,0.859538784067086,0.733333333333333,0.853170731707317
48,0.953878406708595,0.64957264957265,0.680980557903635
49,0.890985324947589,0.56980056980057,0.639517345399698
50,0.911949685534591,0.531073446327684,0.582349503214495
51,0.943396226415094,0.452173913043478,0.479304347826087
52,0.828092243186583,0.480480480480481,0.580225795415669
53,0.817610062893082,0.40251572327044,0.492307692307692
54,0.681341719077568,0.294871794871795,0.432781065088757
55,0.807127882599581,0.356435643564357,0.441609875273242
56,0.733752620545073,0.340136054421769,0.463556851311953
57,0.718778077268643,0.296296296296296,0.412222222222222
58,0.703549728173969,0.251851851851852,0.357973063973064
59,0.62364568468897,0.166666666666667,0.267245762711864
60,0.769898069833008,0.21455938697318,0.27868544600939
