scope,age,men-coded,women-coded,continuity_ratio
film,18,0.904585019609479,1.03466840038755,1.14380448267232
film,19,0.873665063586108,1.05147214919817,1.20351859427939
film,20,0.90431687507264,1.0474366069802,1.15826281235331
film,21,0.924437373229356,1.03787689387779,1.1227119585745
film,22,0.929620050312972,1.04813470001094,1.12748719184582
film,23,0.985202857541399,1.06880853303123,1.08486138144024
film,24,0.942205656925283,1.03868156270253,1.1023936813244
film,25,0.950786987932518,1.02655377804395,1.07968850128691
film,26,0.97924290525861,1.03693744506973,1.0589174958545
film,27,0.974411951316655,1.02894562001984,1.05596572233078
film,28,0.983022152105747,1.03248760150012,1.05031977080924
film,29,0.989731259293574,1.02996712017671,1.04065331927765
film,30,0.996017596000194,1.01618062277785,1.02024364515108
film,31,0.994130649673366,1.00095237504444,1.00686200085806
film,32,1.00453450828421,1.01385254628404,1.00927597600977
film,33,1.00381743258165,0.992928962279319,0.989152937626989
film,34,1.00113482604321,0.971738757867209,0.970637253433506
film,35,1.01067487307584,0.989221462286752,0.978773182790431
film,36,1.01971419791026,1.0012300363694,0.981873193902035
film,37,1.02172621466303,0.995091842176585,0.97393198676494
film,38,1.02921673342234,1.02276934855464,0.993735639289248
film,39,1.01670628217302,1.01285841978486,0.996215364795491
film,40,1.02908896465512,1.02180571713435,0.992922625962454
film,41,1.03379693851892,0.987338632600171,0.955060511220598
film,42,1.04355604894924,0.997904205827606,0.956253578168988
film,43,1.04985367524382,0.998824369716632,0.951393887805046
film,44,1.05308299038226,1.0053637579668,0.954686161630865
film,45,1.04119383962245,1.00475310702809,0.965001010179263
film,46,1.03857959724366,1.04386502272559,1.00508909042307
film,47,1.02882244711342,1.02388457343616,0.995200460787846
film,48,1.04125105318418,1.01576328605324,0.975521977093808
film,49,1.03238494117772,0.994600161305883,0.963400493009195
film,50,1.0375185012898,1.0162802060225,0.97952971899691
film,51,1.03840352257756,1.01091169656089,0.973524910674
film,52,1.03438057671625,1.02302278202821,0.989019713881233
film,53,1.04374172375156,1.01934186171406,0.976622701304115
film,54,1.0398453243978,0.984451539434289,0.946728822389437
film,55,1.04452368627232,0.9743884616083,0.932854347310865
film,56,1.03478716262526,0.988096174814249,0.954878655729982
film,57,1.00612499167536,0.95303355201954,0.947231765342181
film,58,1.01905955217903,0.989584719286711,0.971076437260907
film,59,1.03373412928419,1.00539163711098,0.972582416145202
film,60,0.992680070866107,0.919219736907989,0.925997976473906
film,61,1.01674582503447,0.953838187981113,0.938128453046535
film,62,0.977356356093839,0.922199701475446,0.943565461794471
film,63,0.991369947741127,0.996652923603669,1.00532896510993
film,64,1.01002010083189,0.920507159508701,0.911375089219053
film,65,0.979067492288569,0.917098297404394,0.93670590089829
film,66,0.957378786928432,0.938787635898336,0.980581195986447
film,67,0.938668485646783,0.925027993487353,0.985468253842536
film,68,0.939338246449812,0.903150339704463,0.961475105605335
film,69,0.932003691467621,0.90482479695641,0.970838211522089
film,70,0.948356755085212,0.90621191044231,0.955560136607964
film,71,0.916378857915666,0.867467419280462,0.946625308721706
film,72,0.906158210947931,0.821669887276937,0.90676206135945
film,73,0.866421495327103,0.785670612848917,0.90679953935388
film,74,0.886021361815754,0.767834236809711,0.86660916982426
film,75,0.855468901063487,0.863662500061902,1.00957790398719
overall,18,0.95584072507675,1.00523059622771,1.05167165392225
overall,19,0.941608309493417,0.998689995419747,1.06062147641522
overall,20,0.966755202882616,1.01774054158492,1.05273862354222
overall,21,0.962333453513922,1.01690303696421,1.05670548316806
overall,22,0.965369505028508,1.01968869345531,1.05626776912245
overall,23,0.981600879422285,1.02566170594589,1.0448867023729
overall,24,0.976095346032047,1.00834544472617,1.03303990621944
overall,25,0.983227464830112,1.00804954357137,1.02524550994469
overall,26,0.992207194074515,1.00915953068459,1.01708548044331
overall,27,0.991753951955805,1.00707648659752,1.01544993555256
overall,28,0.989997270839134,1.00477151063724,1.01492351568361
overall,29,0.998362885827746,1.00927930326078,1.01093431816026
overall,30,0.997650852726207,0.999182154965926,1.00153490796458
overall,31,0.995852533066269,1.00665567347836,1.01084813268369
overall,32,0.999091732686384,1.00015885041179,1.00106808783467
overall,33,1.00348984774829,1.00207031032338,0.9985853993161
overall,34,1.00369937308724,0.990999581174454,0.987347016194976
overall,35,1.00842502357749,1.00297454688216,0.994595060051169
overall,36,1.01364625093728,1.00782974415609,0.99426179816103
overall,37,1.01957534853401,1.00449134164773,0.98520559867599
overall,38,1.01088609311659,1.0110630512925,1.00017505253768
overall,39,1.01211755971395,1.01370993198985,1.00157330762679
overall,40,1.01613977368599,1.01934416222441,1.00315349189295
overall,41,1.02543471966526,1.01263675743206,0.987519476386199
overall,42,1.02177791220894,1.00858546564823,0.987088733859798
overall,43,1.02155934942215,1.00804907966414,0.986774855748076
overall,44,1.02022488128445,1.01148197508462,0.991430412686244
overall,45,1.01596890261002,1.01215373419572,0.996244798040083
overall,46,1.01276314888153,1.0197646309511,1.00691324726546
overall,47,1.00716164425692,1.02075382429247,1.0134955298517
overall,48,1.0185000657903,1.02049752466805,1.00196117697469
overall,49,1.02182635334013,1.01519163500056,0.993507000168979
overall,50,1.01733142520951,1.01034614174375,0.993133718970365
overall,51,1.00654098470733,1.01668547822087,1.01007856974298
overall,52,1.00968940279899,0.993727840634191,0.984191611677264
overall,53,1.01323007767217,1.01094591351053,0.997745660919487
overall,54,1.00290755530043,1.00171414552199,0.998810050066789
overall,55,1.01141359899454,0.987672577373552,0.976526891031931
overall,56,1.00993091540152,0.979867868492405,0.970232570910886
overall,57,1.00067322326419,0.986455714212648,0.985792056066854
overall,58,0.992581784472687,0.996666036969885,1.00411477679834
overall,59,1.00179183265349,0.985743103894737,0.983979976442571
overall,60,0.981050306480508,0.970299030725649,0.989041055607608
overall,61,0.984815464914489,0.975098464651273,0.990133176610849
overall,62,0.967015172042854,0.956899312900511,0.989539089525377
overall,63,0.968807936029555,0.957621080056741,0.98845296827495
overall,64,0.968803384603342,0.967961179570212,0.999130674968199
overall,65,0.959307672147822,0.967128930399723,1.00815302376806
overall,66,0.946827475062273,0.953194836460214,1.00672494363086
overall,67,0.937499212803835,0.976353785698639,1.04144491255475
overall,68,0.9108142227452,0.944710988605177,1.03721589432125
overall,69,0.936453157431049,0.935832587171055,0.99933731841783
overall,70,0.934259229676477,0.927085089281655,0.99232103877924
overall,71,0.916658199728904,0.929106943670637,1.01358057337557
overall,72,0.905161344917158,0.894153216115667,0.987838489940709
overall,73,0.894601431475491,0.902463840951809,1.00878872892406
overall,74,0.881509123783607,0.872849931741665,0.99017685488634
overall,75,0.868759352692771,0.919271810436759,1.05814321030032
television,18,0.981473551661905,1.00428356850587,1.02324058229113
television,19,0.954614703999005,0.992392151746787,1.03957350289025
television,20,0.960100196432362,1.00943533263302,1.05138540371514
television,21,0.968863792327373,1.00045955141118,1.03261114651411
television,22,0.974934029326485,1.00121091075014,1.0269524712783
television,23,0.962532897238467,0.996415039910533,1.03520102301882
television,24,0.980164954764552,0.998689234188107,1.01889914481589
television,25,0.979850597536532,0.998737304294847,1.01927508826937
television,26,0.996559345570961,0.992596956918015,0.996023931067873
television,27,0.994371023005384,0.99512328009535,1.0007565154983
television,28,0.982703291598005,0.998970226572536,1.01655325174303
television,29,0.996399119549699,0.996942897934048,1.0005457435416
television,30,0.993792952449663,1.0035917965678,1.00986004589183
television,31,0.996817639374923,0.992294238677739,0.99546215825392
television,32,1.00795131427969,1.00028346164437,0.992392635907416
television,33,0.992747252152904,1.0050101734562,1.0123525109505
television,34,1.00852871509313,0.998922436525358,0.990474957803369
television,35,1.01130723545748,1.0054064900402,0.9941652297043
television,36,1.01445612111666,1.01540923348569,1.00093953040372
television,37,1.02166287847581,1.02239115162214,1.0007128311713
television,38,1.02467563651018,1.00372056423334,0.979549555459118
television,39,1.02721929884841,1.01370379560482,0.986842631112229
television,40,1.02459962679075,1.02979692860918,1.00507251972627
television,41,1.01987999514052,1.02256856520141,1.00263616315027
television,42,1.01294645404264,1.00723954764387,0.99436603348973
television,43,1.02681393750217,1.01755787052986,0.990985643421606
television,44,1.02170113715002,1.02613934757441,1.00434394194448
television,45,1.02247756630725,1.0251616760578,1.0026251038057
television,46,1.01330406888069,1.02221975875626,1.00879863226584
television,47,1.02068325818529,1.03268468821412,1.0117582314911
television,48,1.02236481390639,1.00984401335053,0.987753099103617
television,49,1.03072099362342,1.01000451422908,0.979900982397264
television,50,1.01490301429794,1.01171055556029,0.996854419887736
television,51,1.0109667095111,1.01552262097031,1.00450649009146
television,52,1.02162751429741,0.996651370637042,0.975552592984399
television,53,1.00533795487535,1.01054637736623,1.00518076778621
television,54,0.991956736508964,1.00499218200502,1.01314114317318
television,55,1.0180858398829,0.989488807963721,0.971910981570602
television,56,1.00237597109966,0.985135788401443,0.982800682383376
television,57,1.0043367304253,0.998687137035507,0.994374801579351
television,58,0.988061006388688,0.982464160586251,0.994335526079616
television,59,1.00209940555346,0.98692017790408,0.984852572943102
television,60,0.980697343955293,0.969914950287744,0.989005380983227
television,61,0.975333606156167,0.979358156343725,1.00412633191572
television,62,0.951687150090909,0.981557845000924,1.03138709491576
television,63,0.945318344820032,0.943927263154544,0.998528451634192
television,64,0.929123387745403,0.989083548981104,1.06453412111517
television,65,0.955050557266061,0.961252193706744,1.00649351638351
television,66,0.949281773146696,0.93368316459811,0.983567988989318
television,67,0.922517745154776,0.98420804361043,1.06687166591609
television,68,0.900284079212812,0.940811790408146,1.0450165810227
television,69,0.930914036734792,0.895811424089795,0.962292315659864
television,70,0.916012116813575,0.917922659907307,1.00208571814571
television,71,0.90494277789432,0.916051786874817,1.01227592423727
television,72,0.881298668347219,0.891911383792208,1.01204213262332
television,73,0.908521475770925,0.909308805334983,1.00086660534182
television,74,0.897147601086445,0.86075127273502,0.959431058716148
television,75,0.838913362701909,0.897605859837254,1.06996252502918
